# Constructed from biom file
#OTU ID	ERR12448528	ERR12448538	ERR12448543	ERR12448544	ERR12448552	ERR12448554	ERR12448560	ERR12448561	ERR12448567	ERR12448571	ERR12448580	ERR12448588	ERR12448595	ERR12448596	ERR12448598	ERR12448617	ERR12448619	ERR12448637	ERR12448640	ERR12448644	ERR12448745	ERR12448747	ERR12448750	ERR12448751	ERR12448757	ERR12448776	ERR12448778	ERR12448779	ERR12448780	ERR12448781	ERR12448785	ERR4250216	ERR4250219	ERR4250220	ERR4250228	ERR4250240	ERR4250243	ERR4250245	ERR4250246	ERR4250248	ERR4250256	ERR4250258	ERR4250262	ERR4250263	ERR4250264	ERR4250268	ERR4250271	ERR4250272	ERR4250275	ERR4250290	ERR4250304	ERR4250305	ERR4250310	ERR4250316	ERR4250317	ERR4250324	ERR4250326	ERR4250346	ERR4250359	ERR4250360	ERR4250368	ERR4250370	ERR4250372	ERR4250380	ERR4250382	ERR4250385	ERR4250394	ERR4250397	ERR4250398	ERR4250400	ERR4250403	ERR4250439	ERR4250442	ERR4250443	ERR4250474	ERR4250481	ERR4250483	ERR4250485	ERR4250488	ERR4250489	ERR4250491	ERR4250501	ERR4250506	ERR4250519	ERR4250522	ERR4250535	ERR4250536	ERR4250537	ERR4250539	ERR4250550	ERR4250551	ERR4250556	ERR4250557	ERR4250558	ERR4250561	ERR4250564	ERR4250568	ERR4254389	ERR4254407	ERR4254413	ERR4254418	ERR4254427	ERR4254432	ERR4254437	ERR4254438	ERR4254446	ERR4254448	ERR4254449	ERR4254452	ERR4254455	ERR4254458	ERR4254461	ERR4254464	ERR4254468	ERR4254469	ERR4254472	ERR4254473	ERR4254478	ERR4254485	ERR4254489	ERR4254490	ERR4254493	ERR4254494	ERR4254496	ERR4254500	ERR4254501	ERR4254506	ERR4254508	ERR4254510	ERR4254512	ERR4254518	ERR4254519	ERR4254522
ac5402de1ddf427ab8d2b0a8a0a44f19	14629.0	19.0	3453.0	445.0	214.0	6.0	317.0	1943.0	436.0	435.0	171.0	1774.0	6.0	484.0	2032.0	239.0	316.0	1084.0	65.0	0.0	23.0	1182.0	60.0	0.0	21.0	0.0	0.0	1667.0	10.0	732.0	294.0	4109.0	208.0	4180.0	6.0	1979.0	62.0	1912.0	17.0	0.0	1545.0	1347.0	4549.0	3132.0	2768.0	0.0	90.0	1151.0	25.0	2386.0	2406.0	305.0	3003.0	1159.0	2012.0	1097.0	4653.0	2152.0	14144.0	1878.0	270.0	6405.0	1914.0	146.0	825.0	453.0	0.0	310.0	249.0	359.0	1260.0	242.0	980.0	2684.0	4548.0	201.0	83.0	227.0	1343.0	328.0	107.0	95.0	5163.0	1951.0	1538.0	220.0	729.0	198.0	1669.0	3261.0	2453.0	2226.0	510.0	53.0	5921.0	6317.0	56.0	7240.0	46.0	671.0	0.0	4961.0	5173.0	8426.0	17785.0	69.0	302.0	458.0	3794.0	533.0	17555.0	3869.0	3102.0	7069.0	13971.0	0.0	107.0	32809.0	13017.0	680.0	4549.0	13743.0	3512.0	16613.0	0.0	0.0	5324.0	3283.0	1017.0	0.0	3996.0	284.0	62.0
8937656c16c20701c107e715bad86732	3818.0	324.0	1034.0	3192.0	0.0	29.0	1102.0	3477.0	6356.0	47.0	876.0	49.0	0.0	2747.0	781.0	2256.0	9341.0	3864.0	2586.0	3651.0	3213.0	0.0	28.0	18.0	0.0	938.0	16.0	1746.0	3879.0	2737.0	1043.0	34.0	86.0	0.0	408.0	760.0	268.0	975.0	406.0	405.0	492.0	358.0	64.0	860.0	562.0	1770.0	100.0	717.0	0.0	0.0	877.0	95.0	0.0	1089.0	0.0	403.0	288.0	181.0	3866.0	220.0	806.0	498.0	344.0	293.0	1272.0	1866.0	0.0	155.0	747.0	192.0	385.0	1782.0	415.0	34.0	0.0	65.0	2382.0	227.0	4674.0	429.0	313.0	129.0	398.0	0.0	346.0	0.0	556.0	184.0	2763.0	1027.0	56.0	319.0	40.0	10399.0	977.0	5567.0	3680.0	1039.0	0.0	1174.0	5025.0	124.0	2016.0	5691.0	1038.0	94.0	2999.0	275.0	1846.0	0.0	2573.0	1633.0	3552.0	1041.0	11599.0	5595.0	2044.0	498.0	103.0	386.0	1105.0	5607.0	1487.0	131.0	0.0	0.0	2430.0	3098.0	683.0	0.0	4656.0	537.0	395.0
992072d045462445dc239b35300af2cc	38.0	5073.0	0.0	0.0	0.0	15.0	243.0	0.0	8.0	20.0	6.0	0.0	1633.0	0.0	1325.0	7510.0	0.0	0.0	1496.0	15.0	1979.0	21.0	88.0	59.0	0.0	3272.0	0.0	11.0	279.0	8104.0	261.0	0.0	5172.0	0.0	9469.0	0.0	4934.0	31.0	4904.0	0.0	31.0	0.0	12055.0	6.0	6.0	27.0	5944.0	571.0	293.0	23.0	9.0	2768.0	1033.0	176.0	6321.0	314.0	149.0	23.0	60.0	32.0	5570.0	497.0	402.0	5822.0	2392.0	26.0	0.0	0.0	2131.0	14196.0	4286.0	0.0	20.0	0.0	0.0	0.0	30.0	1038.0	0.0	2689.0	6130.0	11103.0	36.0	0.0	0.0	220.0	7.0	720.0	30.0	13.0	0.0	39.0	4938.0	25.0	30.0	19.0	43.0	31.0	48.0	9208.0	50.0	33.0	27.0	27.0	36.0	3064.0	8234.0	14.0	26.0	0.0	25.0	3329.0	1046.0	38.0	53.0	21.0	3884.0	55.0	38.0	2864.0	327.0	31.0	3196.0	0.0	9.0	21.0	17.0	59.0	1916.0	20.0	21.0	0.0	63.0
79280cea51a6fe8a3432b2f266dd34db	3700.0	3173.0	789.0	5486.0	0.0	1221.0	2751.0	1222.0	828.0	0.0	1511.0	1088.0	280.0	831.0	1185.0	3651.0	2190.0	1476.0	1737.0	3756.0	2693.0	5348.0	528.0	94.0	0.0	310.0	63.0	937.0	3172.0	783.0	571.0	1414.0	413.0	710.0	790.0	53.0	790.0	357.0	1087.0	1465.0	713.0	1421.0	0.0	1325.0	736.0	4785.0	816.0	513.0	0.0	0.0	2283.0	515.0	1116.0	1669.0	1223.0	1160.0	532.0	1015.0	0.0	709.0	1821.0	2097.0	684.0	263.0	1496.0	0.0	57.0	388.0	413.0	413.0	495.0	1308.0	100.0	265.0	0.0	357.0	1307.0	54.0	715.0	254.0	550.0	756.0	1028.0	209.0	342.0	219.0	32.0	134.0	2457.0	427.0	317.0	2422.0	176.0	23.0	224.0	673.0	1052.0	3686.0	1551.0	781.0	3807.0	1905.0	2282.0	1918.0	0.0	231.0	1245.0	176.0	856.0	0.0	2423.0	3050.0	3167.0	2805.0	1287.0	13496.0	1131.0	5423.0	1133.0	1762.0	0.0	100.0	3140.0	1901.0	0.0	0.0	710.0	543.0	132.0	0.0	1631.0	763.0	363.0
eea6b86c0c75e740670ccc50613b1b23	1994.0	187.0	707.0	1069.0	60.0	2094.0	553.0	2417.0	1114.0	2906.0	695.0	3797.0	98.0	1747.0	409.0	171.0	801.0	65.0	1138.0	4252.0	463.0	4516.0	4679.0	39.0	74.0	1461.0	184.0	785.0	1095.0	295.0	3737.0	127.0	144.0	188.0	29.0	114.0	52.0	179.0	188.0	37.0	133.0	124.0	48.0	44.0	269.0	435.0	133.0	136.0	253.0	254.0	143.0	86.0	107.0	105.0	353.0	82.0	113.0	30.0	116.0	511.0	153.0	117.0	119.0	48.0	120.0	2374.0	1625.0	19.0	322.0	43.0	244.0	313.0	1181.0	83.0	0.0	90.0	867.0	43.0	1962.0	129.0	329.0	41.0	922.0	42.0	85.0	692.0	176.0	139.0	791.0	428.0	24.0	225.0	91.0	227.0	278.0	135.0	1028.0	1177.0	1076.0	1143.0	221.0	4300.0	724.0	1429.0	2529.0	318.0	922.0	130.0	540.0	6709.0	773.0	1977.0	881.0	1901.0	477.0	3351.0	453.0	377.0	852.0	991.0	6697.0	3080.0	1031.0	958.0	1327.0	3068.0	1553.0	3454.0	440.0	8317.0	4638.0	1224.0	821.0
c162a4f3943238810eba8a25f0563cca	4856.0	0.0	363.0	94.0	0.0	608.0	66.0	198.0	442.0	40.0	47.0	682.0	0.0	54.0	494.0	54.0	112.0	83.0	19.0	352.0	11.0	223.0	0.0	8.0	0.0	0.0	1748.0	164.0	0.0	146.0	16.0	2049.0	43.0	1701.0	61.0	167.0	0.0	152.0	14.0	1259.0	65.0	744.0	226.0	180.0	114.0	370.0	0.0	116.0	5754.0	1572.0	319.0	19.0	55.0	996.0	131.0	120.0	327.0	169.0	915.0	301.0	56.0	949.0	0.0	114.0	97.0	123.0	0.0	85.0	193.0	82.0	92.0	0.0	155.0	283.0	1178.0	86.0	79.0	28.0	272.0	30.0	16.0	53.0	155.0	0.0	215.0	71.0	741.0	56.0	0.0	235.0	299.0	434.0	38.0	109.0	449.0	828.0	25.0	1255.0	20187.0	342.0	2289.0	507.0	1499.0	686.0	12891.0	68.0	58.0	542.0	944.0	43.0	1907.0	380.0	209.0	1182.0	3882.0	395.0	45.0	1255.0	515.0	170.0	184.0	3673.0	622.0	5133.0	4794.0	4149.0	381.0	2173.0	115.0	243.0	1270.0	674.0	16831.0
23e5edb47f5a9a45adc62dc95d595ce6	0.0	9247.0	20.0	0.0	3.0	0.0	140.0	7.0	0.0	0.0	0.0	17.0	623.0	11.0	0.0	2592.0	0.0	0.0	381.0	0.0	952.0	0.0	0.0	0.0	0.0	296.0	0.0	0.0	440.0	0.0	252.0	24.0	352.0	9.0	2562.0	0.0	4371.0	0.0	6624.0	0.0	0.0	0.0	1481.0	0.0	0.0	0.0	5534.0	0.0	73.0	0.0	0.0	3286.0	1376.0	149.0	10195.0	0.0	77.0	0.0	0.0	0.0	0.0	127.0	195.0	15117.0	0.0	0.0	0.0	3971.0	1424.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2311.0	23.0	1847.0	0.0	5763.0	0.0	10.0	0.0	0.0	0.0	123.0	0.0	0.0	27.0	0.0	1927.0	0.0	0.0	0.0	0.0	0.0	0.0	1725.0	0.0	0.0	0.0	0.0	0.0	6138.0	3743.0	0.0	0.0	40.0	0.0	0.0	5221.0	0.0	0.0	0.0	3377.0	0.0	0.0	0.0	0.0	0.0	1606.0	20.0	0.0	0.0	0.0	0.0	1194.0	0.0	0.0	0.0	0.0
ea2b0e4a93c24c6c3661cbe347f93b74	0.0	0.0	553.0	159.0	28.0	0.0	54.0	0.0	1196.0	103.0	45.0	0.0	3.0	1834.0	1200.0	65.0	587.0	249.0	10.0	463.0	0.0	2551.0	0.0	0.0	0.0	11.0	0.0	2690.0	4.0	60.0	65.0	1072.0	35.0	347.0	0.0	1596.0	15.0	1474.0	0.0	314.0	263.0	720.0	0.0	1340.0	1513.0	1136.0	11.0	0.0	0.0	958.0	198.0	0.0	84.0	748.0	88.0	487.0	844.0	1726.0	78.0	126.0	283.0	1232.0	628.0	213.0	241.0	471.0	0.0	20.0	16.0	56.0	532.0	1350.0	0.0	682.0	0.0	260.0	143.0	22.0	518.0	92.0	12.0	0.0	971.0	1044.0	64.0	40.0	998.0	185.0	592.0	2076.0	904.0	660.0	24.0	1923.0	742.0	1385.0	14.0	2671.0	0.0	438.0	2714.0	2712.0	3254.0	998.0	0.0	46.0	37.0	1120.0	2914.0	43.0	4266.0	529.0	5209.0	5405.0	8862.0	1153.0	25.0	3831.0	2313.0	216.0	941.0	2722.0	357.0	5410.0	976.0	0.0	59.0	202.0	452.0	0.0	51.0	762.0	0.0
b0645cbec7653c887cb868a248d95874	3208.0	1024.0	2752.0	1539.0	0.0	0.0	2768.0	458.0	136.0	0.0	337.0	0.0	235.0	844.0	1256.0	1971.0	2169.0	0.0	414.0	3941.0	1476.0	0.0	0.0	0.0	0.0	1745.0	0.0	530.0	1429.0	850.0	93.0	3176.0	215.0	2161.0	369.0	0.0	1439.0	170.0	597.0	303.0	2225.0	204.0	0.0	669.0	816.0	448.0	498.0	2143.0	26.0	0.0	1859.0	632.0	1562.0	2751.0	1831.0	1537.0	0.0	974.0	0.0	1542.0	1925.0	632.0	549.0	277.0	703.0	0.0	0.0	459.0	106.0	707.0	618.0	840.0	0.0	522.0	0.0	199.0	1257.0	172.0	0.0	593.0	470.0	306.0	194.0	130.0	498.0	98.0	0.0	250.0	1173.0	195.0	221.0	706.0	236.0	0.0	179.0	0.0	139.0	1740.0	0.0	822.0	824.0	518.0	823.0	0.0	0.0	317.0	725.0	184.0	2559.0	0.0	967.0	2597.0	245.0	479.0	0.0	1086.0	622.0	290.0	1193.0	257.0	0.0	507.0	371.0	0.0	0.0	805.0	0.0	113.0	137.0	0.0	0.0	671.0	670.0
40c85a458df8d5a935122ba778d4f334	0.0	0.0	0.0	66.0	53.0	0.0	10.0	0.0	113.0	81.0	26.0	0.0	0.0	517.0	105.0	7.0	591.0	0.0	4.0	105.0	0.0	807.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.0	68.0	0.0	0.0	706.0	0.0	0.0	0.0	72.0	0.0	0.0	359.0	0.0	135.0	3718.0	0.0	2284.0	43.0	329.0	0.0	0.0	1251.0	0.0	0.0	1473.0	0.0	8.0	5832.0	256.0	3862.0	3828.0	0.0	932.0	0.0	32.0	47.0	273.0	0.0	55.0	131.0	0.0	66.0	97.0	205.0	864.0	0.0	98.0	257.0	30.0	0.0	0.0	7.0	52.0	1329.0	345.0	136.0	0.0	0.0	0.0	0.0	0.0	235.0	0.0	17.0	0.0	0.0	0.0	0.0	8900.0	0.0	618.0	20415.0	0.0	2949.0	1844.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	505.0	264.0	0.0	0.0	0.0	0.0	11910.0	1777.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	2239.0	2175.0	0.0	0.0	2532.0	133.0	0.0
